date,advbw,bwhist
2012-03-26,20.947987,13.838062
2012-03-27,20.844671,13.865580
2012-03-28,20.636252,13.710911
2012-03-29,20.689073,13.681341
2012-03-30,20.440330,13.878688
2012-03-31,21.352943,14.019483
2012-04-01,21.713092,14.296353
2012-04-02,21.777913,14.355551
2012-04-03,21.686212,13.937402
2012-04-04,21.682042,14.069499
2012-04-05,21.589159,14.109891
2012-04-06,21.378274,14.369973
2012-04-07,21.492810,14.260900
2012-04-08,21.608023,14.180473
2012-04-09,21.565760,14.331356
2012-04-10,21.576534,14.266042
2012-04-11,21.760715,14.265439
2012-04-12,21.671184,14.444727
2012-04-13,21.448844,14.277476
2012-04-14,21.472415,14.011562
2012-04-15,21.374687,13.871087
2012-04-16,21.249857,14.132469
2012-04-17,21.381209,13.977265
2012-04-18,21.447065,13.966022
2012-04-19,21.301306,13.840381
2012-04-20,20.747652,13.883766
2012-04-21,20.702437,13.746989
2012-04-22,20.714179,13.732552
2012-04-23,20.642493,13.676581
2012-04-24,20.543623,13.660701
2012-04-25,20.799936,13.923181
2012-04-26,21.416724,14.105714
2012-04-27,21.648280,14.217528
2012-04-28,21.715244,14.218644
2012-04-29,21.865216,14.307827
